exam,variant,target,slice_type,slice_value,n,spearman,actual_mean,pred_mean,actual_median,pred_median,metric,error,signed_error,actual_to_pred_ratio
dual,no_yolo,popularity,source_slice,OTHER,79,0.46348781325660526,1623.3164556962026,1212.2953231569804,664.0,529.7927215307968,log_mae,0.8323602648883087,-0.3978457399447036,1.3390437335589713
dual,no_yolo,popularity,source_slice,OTHER_SMALL,84,0.49880275599691704,8098.333333333333,844.9410585249785,838.5,636.7954870780194,log_mae,0.9655387856618957,-0.8284705907897544,9.584494979413911
dual,no_yolo,popularity,source_slice,UNKNOWN,83,0.20859024482421037,1182.9759036144578,717.6208635584536,715.0,648.950530116594,log_mae,0.5320945121114504,-0.34425625864785553,1.6484692177822933
dual,no_yolo,popularity,source_slice,VIDEO_GAME,149,0.4896566923381784,6261.4496644295305,834.0183125438609,1202.0,615.9237331827172,log_mae,1.0800383521099,-0.9092593759266018,7.507568563250512
dual,no_yolo,popularity,popularity_tail,lower_90pct,1081,0.5117051099246545,2534.0980573543015,1065.7183287417029,1055.0,657.0091176134151,log_mae,0.9403993369418099,-0.6491829707760002,2.377830979360484
dual,no_yolo,popularity,popularity_tail,top_10pct,121,0.22064760872510494,61517.27272727273,2535.8262851407817,40447.0,1662.3593906061471,log_mae,3.2286392594914064,-3.2286392594914064,24.259261404358174
dual,no_yolo,meanScore,popularity_quantile,Q1_low,241,0.3642365250664773,55.483817427385894,50.84899082703123,55.8,52.09224303155141,mae,6.321815344130689,-4.634826600354658,
dual,no_yolo,meanScore,popularity_quantile,Q2,240,0.4844101390812498,57.357083333333335,53.297548255771794,57.4,53.923416521002316,mae,5.455631478970454,-4.059535077561532,
dual,no_yolo,meanScore,popularity_quantile,Q3,240,0.5165961986969155,57.83541666666667,55.58745046612512,58.650000000000006,55.86483085717777,mae,4.8002736203830825,-2.247966200541548,
dual,no_yolo,meanScore,popularity_quantile,Q4,240,0.28129869687233244,62.514583333333334,57.84727706919849,63.0,58.85600896354391,mae,6.263242568655236,-4.667306264134839,
dual,no_yolo,meanScore,popularity_quantile,Q5_high,241,0.2659376322749321,68.40124481327801,59.922932728712034,68.2,60.192525534757166,mae,8.83037470668026,-8.478312084565973,
dual,no_yolo,meanScore,score_quantile,Q1_low,241,0.13735996764615577,51.111203319502074,49.46972493734054,51.900000000000006,49.24419598749201,mae,5.436579798093941,-1.6414783821615375,
dual,no_yolo,meanScore,score_quantile,Q2,240,0.11574189018852811,56.555,53.385141427921404,56.6,54.135672833872064,mae,4.989002382767596,-3.169858572078596,
dual,no_yolo,meanScore,score_quantile,Q3,240,0.1444151211755898,59.88125,56.13994694066989,59.8,56.50962075777458,mae,5.212292405355172,-3.741303059330115,
dual,no_yolo,meanScore,score_quantile,Q4,240,0.12334114283019124,63.67541666666666,58.53918141446354,63.5,59.065936447926454,mae,5.5680714590070615,-5.136235252203128,
dual,no_yolo,meanScore,score_quantile,Q5_high,241,0.21372014997078848,70.37925311203318,59.97573157246805,69.3,60.192525534757166,mae,10.462280547368236,-10.40352153956515,
dual,no_yolo,meanScore,release_period,2010-2014,205,0.631512964482519,59.234146341463415,55.1961996511093,58.9,56.35469802705949,mae,5.899322087221448,-4.037946690354117,
dual,no_yolo,meanScore,release_period,2015-2019,387,0.578462098009613,59.789922480620156,55.15136479176525,58.9,56.27441590050176,mae,6.394820201151783,-4.638557688854893,
dual,no_yolo,meanScore,release_period,2020-2026,279,0.4024160659272008,62.91684587813621,56.956031531132545,61.8,57.80971151528617,mae,7.1577663604402115,-5.960814347003659,
dual,no_yolo,meanScore,release_period,<=2009,331,0.6319027737013401,59.42749244712991,54.87083947649693,59.2,55.25005818461513,mae,5.846223511415674,-4.556652970632973,
dual,no_yolo,meanScore,format_slice,MOVIE,177,0.615880958368128,58.9774011299435,53.825934333689524,58.5,54.71006269439103,mae,7.041683934049438,-5.151466796253972,
dual,no_yolo,meanScore,format_slice,ONA,383,0.4627473909325725,57.30208877284595,52.46679183450406,56.5,53.28952146730101,mae,6.4008820350164655,-4.83529693834189,
dual,no_yolo,meanScore,format_slice,OVA,127,0.5228665332326775,61.67480314960631,54.771304117934754,59.6,54.31358897698667,mae,7.177850318398288,-6.903499031671544,
dual,no_yolo,meanScore,format_slice,SPECIAL,481,0.4040474799134715,62.896673596673594,58.66960498762971,62.8,59.44411515004649,mae,5.772600407486473,-4.2270686090438865,
dual,no_yolo,meanScore,format_slice,TV,34,0.5408420712134177,59.832352941176474,56.287426326215275,58.650000000000006,58.811928490177635,mae,6.769105305644464,-3.544926614961188,
dual,no_yolo,meanScore,source_slice,LIGHT_NOVEL,115,0.3595554835421621,65.40347826086956,59.561554075022,64.1,60.55355425286203,mae,6.828845675742773,-5.841924185847565,
dual,no_yolo,meanScore,source_slice,MANGA,306,0.35054074923851153,64.05326797385622,59.099385816398176,63.9,59.824138106292196,mae,6.527516252569303,-4.953882157458035,
dual,no_yolo,meanScore,source_slice,ORIGINAL,386,0.5464565917824459,57.23575129533679,52.64193613430169,56.55,53.47383524829198,mae,6.55654924833411,-4.5938151610351,
dual,no_yolo,meanScore,source_slice,OTHER,79,0.5488064694350481,56.50886075949367,52.70846999060442,56.4,52.75621974372977,mae,5.330448666581491,-3.800390768889249,
dual,no_yolo,meanScore,source_slice,OTHER_SMALL,84,0.49378291059124496,59.5797619047619,54.23606696932709,58.2,55.35465284266769,mae,6.01927626778455,-5.343694935434826,
dual,no_yolo,meanScore,source_slice,UNKNOWN,83,0.45266501612126187,58.77590361445784,54.47698412930719,58.8,54.494009292718566,mae,5.618421648815536,-4.298919485150652,
dual,no_yolo,meanScore,source_slice,VIDEO_GAME,149,0.41327553929452426,60.02684563758389,55.14505505434554,59.400000000000006,55.57202105610782,mae,6.1050628101236395,-4.881790583238358,
dual,no_yolo,meanScore,popularity_tail,lower_90pct,1081,0.5580438261779946,59.234042553191486,54.94621371452482,59.0,55.83581149338441,mae,5.921581965349888,-4.287828838666666,
dual,no_yolo,meanScore,popularity_tail,top_10pct,121,0.10176329452677199,70.03305785123966,60.45390695368342,69.7,60.70619661252607,mae,10.041678826647233,-9.579150897556248,
pop_only,cover_yolo,popularity,popularity_quantile,Q1_low,753,0.05373061235842087,100.73705179282868,358.7502791881794,108.0,315.9224999808638,log_mae,1.1804884036172958,1.1762440412825865,0.2807999258447627
pop_only,cover_yolo,popularity,popularity_quantile,Q2,753,0.03718836511439326,163.09561752988049,409.97568215879124,159.0,334.98761413550784,log_mae,0.8051513884352783,0.7565583914242167,0.39781778438924703
pop_only,cover_yolo,popularity,popularity_quantile,Q3,753,0.02733505150881153,307.61752988047806,474.1403584040957,303.0,367.1504646707392,log_mae,0.5076621717839137,0.20880970187419887,0.6487900142394223
pop_only,cover_yolo,popularity,popularity_quantile,Q4,753,0.297918536278567,686.9654714475431,826.1601020802634,612.0,489.8626252947981,log_mae,0.6256823602657806,-0.21001789995204598,0.8315161549411191
pop_only,cover_yolo,popularity,popularity_quantile,Q5_high,753,0.25366545104290517,17800.314741035858,1392.203821725631,5392.0,1047.977034200416,log_mae,1.9523771203429903,-1.8745677082706667,12.78571029849095
pop_only,cover_yolo,popularity,release_period,2010-2014,613,0.3842250633075518,3735.009787928222,533.2009389047888,283.0,383.0098457202552,log_mae,0.9773360186274809,-0.025680162353116705,7.00488224120544
pop_only,cover_yolo,popularity,release_period,2015-2019,1137,0.37816405668488307,3548.233948988566,550.3947643622663,258.0,372.124727719215,log_mae,1.0118184620922022,0.012925656647032957,6.446707306708937
pop_only,cover_yolo,popularity,release_period,2020-2026,1183,0.6269858592464818,5460.506339814032,655.0719307777346,268.0,431.31307091583056,log_mae,1.1193875799473185,-0.13399161255280184,8.335735486835839
pop_only,cover_yolo,popularity,release_period,<=2009,828,0.5089478051870655,1767.3852657004832,1058.553772404659,395.0,551.757273074548,log_mae,0.8850731765539529,0.25919446799274176,1.669622565970938
pop_only,cover_yolo,popularity,format_slice,MOVIE,861,0.4043790100347464,1897.6469221835075,881.9968855332859,183.0,385.3716242262613,log_mae,1.0317904526156776,0.43068581144329854,2.1515347200303596
pop_only,cover_yolo,popularity,format_slice,ONA,1118,0.28530837137266746,1093.4212880143114,444.65726177499783,261.5,356.68265990937783,log_mae,0.8598025572799374,0.20442108926450217,2.4590204231671726
pop_only,cover_yolo,popularity,format_slice,OVA,296,0.43672016652798135,3111.429054054054,712.2028982105173,416.5,545.9195398384846,log_mae,0.8368554945678103,0.047977992941495434,4.368739669372082
pop_only,cover_yolo,popularity,format_slice,SPECIAL,761,0.6833619833890944,8516.735873850197,935.761436125064,967.0,703.2610152086189,log_mae,1.2289707587314613,-0.6161372331960134,9.101396515245943
pop_only,cover_yolo,popularity,format_slice,TV,715,0.4988302397465862,5580.904895104895,584.729977298079,248.0,371.8542278722773,log_mae,1.0609490524849492,-0.10874865597515067,9.544413852173523
pop_only,cover_yolo,popularity,format_slice,UNKNOWN,14,0.3934065934065934,7309.928571428572,626.5565542979583,3466.5,411.21000174638715,log_mae,1.9692701866256337,-1.7134321092060927,11.66682962820359
pop_only,cover_yolo,popularity,source_slice,LIGHT_NOVEL,213,0.5317724693454552,20746.798122065728,1411.4580400349796,4116.0,1011.9785326129728,log_mae,1.8061619245035656,-1.3195723233187462,14.698841576297633
pop_only,cover_yolo,popularity,source_slice,MANGA,591,0.5907082636251473,10361.260575296108,1059.6547171672166,1582.0,858.9181098116427,log_mae,1.387999834446203,-0.8584152734047262,9.777959185606184
pop_only,cover_yolo,popularity,source_slice,ORIGINAL,1760,0.28716877463259727,969.6170454545454,536.0830507447558,195.0,330.31392843822056,log_mae,0.8811474950417341,0.3177770102982814,1.8087067742721963
pop_only,cover_yolo,popularity,source_slice,OTHER,263,0.3969549769207095,752.7300380228137,723.9539465779447,293.0,397.1183409882865,log_mae,0.8693062840170328,0.3207408945336855,1.039748511049481
pop_only,cover_yolo,popularity,source_slice,OTHER_SMALL,291,0.38164437080131425,2601.9896907216494,533.7727423554446,275.0,411.30938671381966,log_mae,0.9224980194461742,0.23613401667596867,4.874714432287287
pop_only,cover_yolo,popularity,source_slice,UNKNOWN,395,0.3774403978117992,441.04810126582277,581.4894302208145,278.0,447.0717813767472,log_mae,0.7343604143197304,0.4779407316137002,0.7584799969594278
pop_only,cover_yolo,popularity,source_slice,VIDEO_GAME,252,0.423059474073659,3860.1746031746034,636.8556460384528,522.0,502.9717708267942,log_mae,1.094239461528781,-0.27702648980386907,6.061302317388153
pop_only,cover_yolo,popularity,popularity_tail,lower_90pct,3388,0.4018105542007035,581.8459268004723,599.1080414384404,264.0,391.7779170627537,log_mae,0.8206756207594399,0.3191211434038821,0.9711869755636691
pop_only,cover_yolo,popularity,popularity_tail,top_10pct,377,0.2502807552874335,32838.010610079575,1529.2528620821097,17056.0,1231.0167037662472,log_mae,2.7540747069875273,-2.753956126006793,21.473237961032773
dual,cover_yolo,popularity,popularity_quantile,Q1_low,241,0.1898265299612766,409.8464730290456,402.128727378243,419.0,362.70618840966586,log_mae,0.43765968662435506,-0.14759073088451943,1.0191922265815725
dual,cover_yolo,popularity,popularity_quantile,Q2,240,0.29101874646053616,680.3333333333334,795.4319032423973,672.0,503.363892664362,log_mae,0.5818195911048836,-0.2595982349521289,0.8553005361742586
dual,cover_yolo,popularity,popularity_quantile,Q3,240,0.21677643151717185,1276.4625,1335.452694685587,1249.5,713.026756275488,log_mae,0.8389928779625545,-0.41407426306205664,0.9558275669963171
dual,cover_yolo,popularity,popularity_quantile,Q4,240,0.11120995070445129,3558.4083333333333,1053.289634626528,3276.0,895.9557102971125,log_mae,1.3651646930353647,-1.3517794896765254,3.3783759151822115
dual,cover_yolo,popularity,popularity_quantile,Q5_high,241,0.2593700188972529,36350.73858921162,1723.9041597232394,18566.0,1336.550784323657,log_mae,2.773504400486846,-2.7733189024381457,21.086287415796637
dual,cover_yolo,popularity,release_period,2010-2014,205,0.6981699959590785,10735.439024390244,847.3699936044177,1292.0,591.4944496220149,log_mae,1.3274269342606337,-1.2452816257580361,12.669128132240575
dual,cover_yolo,popularity,release_period,2015-2019,387,0.6997226197659305,10023.839793281653,883.7031139313729,1276.0,610.8458826361873,log_mae,1.3094431349897515,-1.2260609385126633,11.342994762899625
dual,cover_yolo,popularity,release_period,2020-2026,279,0.5767648657179225,9957.021505376344,961.746380327133,1355.0,670.5509397922419,log_mae,1.2620493824902559,-1.088305437899931,10.353063665276823
