exam,variant,target,pred_quantile,n,pred_mean,actual_mean,pred_median,actual_median,mean_log_error,actual_to_pred_ratio,mean_error,mae
pop_only,cover_yolo,popularity,3,753,431.8202176209336,1045.1128818061088,429.9008012364746,265.0,0.3202153316902663,2.4202500002525222,,
pop_only,cover_yolo,popularity,4,753,653.5306114218316,3086.131474103586,636.8914127895584,395.0,0.14836181581632163,4.722244712285701,,
pop_only,cover_yolo,popularity,5,753,1893.8500049049167,14228.922974767596,1321.739862018605,2614.0,-0.5864774587206576,7.513225935483724,,
dual,cover_yolo,popularity,1,241,240.0719328769771,826.3858921161826,243.38280257598475,539.0,-1.000921111638628,3.442242840355925,,
dual,cover_yolo,popularity,2,240,442.63400021267796,2776.4416666666666,443.2872983103249,730.0,-0.8783311427874675,6.27254495888846,,
dual,cover_yolo,popularity,3,240,669.4521426683262,4125.966666666666,663.2419627664149,1192.0,-0.880992983900555,6.1631988363219525,,
dual,cover_yolo,popularity,4,240,1062.4121837405396,12155.454166666666,1034.8002856248231,3242.5,-1.300854797361931,11.44137308729815,,
dual,cover_yolo,popularity,5,241,2891.447333576839,22447.734439834025,2189.2440678320563,4519.0,-0.889555058089771,7.76349414328265,,
dual,cover_yolo,meanScore,1,241,45.37189183388152,54.37012448132781,46.01896020878603,54.2,,,-8.998232647446292,9.18013750608097
dual,cover_yolo,meanScore,2,240,52.004060673810955,58.01500000000001,52.137656981771876,57.8,,,-6.0109393261890425,6.565156915223436
dual,cover_yolo,meanScore,3,240,55.79857482712059,60.66791666666667,55.96781197234236,60.349999999999994,,,-4.869341839546075,6.066160993639724
dual,cover_yolo,meanScore,4,240,58.99185052026217,63.139166666666675,58.92683139094025,62.95,,,-4.147316146404497,5.686518931627747
dual,cover_yolo,meanScore,5,241,62.96677140460552,65.41701244813278,62.43482268086598,64.7,,,-2.4502410435272557,4.956946332126349
pop_only,cover_yolo_coverbanner_proxy,popularity,1,753,181.44610029872953,326.37981407702523,184.67955357379148,171.0,-0.13705814547385295,1.7987700674728169,,
pop_only,cover_yolo_coverbanner_proxy,popularity,2,753,303.6771749011361,412.69588313413016,302.33743905442896,189.0,0.29751002604976096,1.3589953978875289,,
pop_only,cover_yolo_coverbanner_proxy,popularity,3,753,441.8054052855258,1351.9973439575033,439.8759471472833,267.0,0.329504839503123,3.060164786992018,,
pop_only,cover_yolo_coverbanner_proxy,popularity,4,753,672.9317546415136,3070.2549800796814,654.4660737776569,394.0,0.17711651433488876,4.562505720532207,,
pop_only,cover_yolo_coverbanner_proxy,popularity,5,753,1992.4952571868698,13897.402390438247,1385.236042382793,2499.0,-0.5067761480249445,6.974873511146758,,
dual,cover_yolo_coverbanner_proxy,popularity,1,241,242.38763984491834,869.7510373443984,243.2526545657776,539.0,-1.0065066239247142,3.5882648055027575,,
dual,cover_yolo_coverbanner_proxy,popularity,2,240,451.30795928777604,2787.2875,452.27627974109475,731.5,-0.8717095561660708,6.176021146178566,,
dual,cover_yolo_coverbanner_proxy,popularity,3,240,683.6341065663987,4936.15,678.7942406089496,1192.0,-0.8931946207163205,7.220456019656724,,
dual,cover_yolo_coverbanner_proxy,popularity,4,240,1092.6209426973955,11509.733333333334,1061.3738988492887,3242.5,-1.241689364337911,10.53405887033321,,
dual,cover_yolo_coverbanner_proxy,popularity,5,241,3076.7964065671217,22229.78838174274,2327.224796455624,4402.0,-0.8026418867269729,7.224978661017487,,
dual,cover_yolo_coverbanner_proxy,meanScore,1,241,45.42548481697185,54.54771784232365,45.975648593406746,54.3,,,-9.122233025351797,9.313250028952291
dual,cover_yolo_coverbanner_proxy,meanScore,2,240,52.17798684808416,58.04833333333333,52.44706614680469,57.8,,,-5.870346485249177,6.385826210754516
dual,cover_yolo_coverbanner_proxy,meanScore,3,240,56.022717306755496,60.42875000000001,56.10294692953158,60.1,,,-4.406032693244504,5.902337992500468
dual,cover_yolo_coverbanner_proxy,meanScore,4,240,59.25264582864828,63.17541666666667,59.18329981987783,62.9,,,-3.922770838018396,5.475877623211235
dual,cover_yolo_coverbanner_proxy,meanScore,5,241,63.24362595773313,65.40829875518672,62.68502026888514,64.7,,,-2.1646727974535898,4.965793672761701
